EVENT_ID,CZ_NAME_STR,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,State,CZ_TIMEZONE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,END_DATE,END_TIME,EPISODE_NARRATIVE
5155401,GUAM (ZONE),7/4/2000,0,Hurricane (Typhoon),0,0,500000,0,XX,SST,1100642,Z,6,GUA,0,0,NEWSPAPER,7/4/2000,2300,"The Coast Guard was notified that a German ship was in distress 700 miles northwest of Guam. The 
317 foot cargo vessel Southern Ameliar II with a crew of 19, was on its maiden voyage from Shanghai to Oregon. It received damage after passing through Typhoon Kirogi. The crew decided to board a lifeboat and abandon ship three hours after a total loss of power and failure of the ships main engines. The storm also damaged one of the ship's two cargo cranes, which smashed into the ship's forward hold. The ship's rudder was also damaged. The cargo was not damaged."
5156118,ST. CROIX (ZONE),8/22/2000,200,Hurricane (Typhoon),0,0,100000,0,XX,AST,1102751,Z,2,SJU,0,0,EMERGENCY MANAGER,8/22/2000,2200,"Debby formed on the 18th as a tropical depression about 1100 miles east of the Windward Islands.  The storm moved west northwest and strengthened to a hurricane on the morning of August 22 just northeast of the Leeward Islands.  Debby passed about 30 miles north of St. Thomas late that morning and about 20 to 40 miles of the northeast coast of Puerto Rico during the afternoon.  The storm continued to move west northwest and to weaken during most of the day and night and by the 23rd, it was located about 100 miles northwest of Puerto Rico as a tropical storm. 

Minor damages were reported across the Virgin Islands.  Maximum wind speed reported at the St. Thomas airport  was 33 mph with gusts to 45 mph. At St. Croix airport, maximum sustained wind speed was 35 mph with gusts to 43 mph.  These winds produced brief power blackouts."
5156119,ST. THOMAS / ST. JOHN AND ADJACENT ISLANDS (ZONE),8/22/2000,200,Hurricane (Typhoon),0,0,100000,0,XX,AST,1102751,Z,1,SJU,0,0,EMERGENCY MANAGER,8/22/2000,2200,"Debby formed on the 18th as a tropical depression about 1100 miles east of the Windward Islands.  The storm moved west northwest and strengthened to a hurricane on the morning of August 22 just northeast of the Leeward Islands.  Debby passed about 30 miles north of St. Thomas late that morning and about 20 to 40 miles of the northeast coast of Puerto Rico during the afternoon.  The storm continued to move west northwest and to weaken during most of the day and night and by the 23rd, it was located about 100 miles northwest of Puerto Rico as a tropical storm. 

Minor damages were reported across the Virgin Islands.  Maximum wind speed reported at the St. Thomas airport  was 33 mph with gusts to 45 mph. At St. Croix airport, maximum sustained wind speed was 35 mph with gusts to 43 mph.  These winds produced brief power blackouts."
5156116,VIEQUES (ZONE),8/22/2000,1500,Hurricane (Typhoon),0,0,25000,0,XX,AST,1102750,Z,13,SJU,0,0,EMERGENCY MANAGER,8/23/2000,200,"Debby formed on the 18th of  August as a tropical depression about 1100 miles east of the Windward Islands.  The storm moved west  northwest and strengthened to a hurricane on the morning of August 22 just northeast of the Leeward Islands. Debby passed about  30 miles north of St.Thomas late that morning and about  30 to 40 miles off the northeast coast of Puerto Rico during the afternoon.  The storm continued to move west northwest  and weakened during most of the day and night and by the 23rd it was located about 100 miles northwest of Puerto Rico as a tropical storm.   

Its major impact over Puerto Rico was flooding. Some sectors in the interior received more than 12 inches of rain in a 48-hour period.  This caused widespread flooding and many rivers to overflow  their banks forcing communities to be evacuated.  Also this rainfall caused landslides and mudslides and induced various bridges to collapse. Many homes were affected by flood waters island wide.   Maximum sustained wind speed at the San Juan Airport was 24 mph with gusts to 35 mph. In Ceiba, maximum sustained winds were 28 mph with gust to 35 mph.  Damages were estimated around .5 M due to flooding affecting about 406 homes.  Caguas municipality was the most affected with 237 families reporting some degree of  flood damage."
5156113,PONCE AND VICINITY (ZONE),8/22/2000,1500,Hurricane (Typhoon),0,0,41000,0,XX,AST,1102750,Z,7,SJU,0,0,EMERGENCY MANAGER,8/23/2000,200,"Debby formed on the 18th of  August as a tropical depression about 1100 miles east of the Windward Islands.  The storm moved west  northwest and strengthened to a hurricane on the morning of August 22 just northeast of the Leeward Islands. Debby passed about  30 miles north of St.Thomas late that morning and about  30 to 40 miles off the northeast coast of Puerto Rico during the afternoon.  The storm continued to move west northwest  and weakened during most of the day and night and by the 23rd it was located about 100 miles northwest of Puerto Rico as a tropical storm.   

Its major impact over Puerto Rico was flooding. Some sectors in the interior received more than 12 inches of rain in a 48-hour period.  This caused widespread flooding and many rivers to overflow  their banks forcing communities to be evacuated.  Also this rainfall caused landslides and mudslides and induced various bridges to collapse. Many homes were affected by flood waters island wide.   Maximum sustained wind speed at the San Juan Airport was 24 mph with gusts to 35 mph. In Ceiba, maximum sustained winds were 28 mph with gust to 35 mph.  Damages were estimated around .5 M due to flooding affecting about 406 homes.  Caguas municipality was the most affected with 237 families reporting some degree of  flood damage."
5156112,NORTHWEST (ZONE),8/22/2000,1500,Hurricane (Typhoon),0,0,41000,0,XX,AST,1102750,Z,8,SJU,0,0,EMERGENCY MANAGER,8/23/2000,200,"Debby formed on the 18th of  August as a tropical depression about 1100 miles east of the Windward Islands.  The storm moved west  northwest and strengthened to a hurricane on the morning of August 22 just northeast of the Leeward Islands. Debby passed about  30 miles north of St.Thomas late that morning and about  30 to 40 miles off the northeast coast of Puerto Rico during the afternoon.  The storm continued to move west northwest  and weakened during most of the day and night and by the 23rd it was located about 100 miles northwest of Puerto Rico as a tropical storm.   

Its major impact over Puerto Rico was flooding. Some sectors in the interior received more than 12 inches of rain in a 48-hour period.  This caused widespread flooding and many rivers to overflow  their banks forcing communities to be evacuated.  Also this rainfall caused landslides and mudslides and induced various bridges to collapse. Many homes were affected by flood waters island wide.   Maximum sustained wind speed at the San Juan Airport was 24 mph with gusts to 35 mph. In Ceiba, maximum sustained winds were 28 mph with gust to 35 mph.  Damages were estimated around .5 M due to flooding affecting about 406 homes.  Caguas municipality was the most affected with 237 families reporting some degree of  flood damage."
5157373,CULEBRA (ZONE),8/22/2000,1500,Hurricane (Typhoon),0,0,25000,0,XX,AST,1102750,Z,12,SJU,0,0,EMERGENCY MANAGER,8/23/2000,200,"Debby formed on the 18th of  August as a tropical depression about 1100 miles east of the Windward Islands.  The storm moved west  northwest and strengthened to a hurricane on the morning of August 22 just northeast of the Leeward Islands. Debby passed about  30 miles north of St.Thomas late that morning and about  30 to 40 miles off the northeast coast of Puerto Rico during the afternoon.  The storm continued to move west northwest  and weakened during most of the day and night and by the 23rd it was located about 100 miles northwest of Puerto Rico as a tropical storm.   

Its major impact over Puerto Rico was flooding. Some sectors in the interior received more than 12 inches of rain in a 48-hour period.  This caused widespread flooding and many rivers to overflow  their banks forcing communities to be evacuated.  Also this rainfall caused landslides and mudslides and induced various bridges to collapse. Many homes were affected by flood waters island wide.   Maximum sustained wind speed at the San Juan Airport was 24 mph with gusts to 35 mph. In Ceiba, maximum sustained winds were 28 mph with gust to 35 mph.  Damages were estimated around .5 M due to flooding affecting about 406 homes.  Caguas municipality was the most affected with 237 families reporting some degree of  flood damage."
5156115,SOUTHWEST (ZONE),8/22/2000,1500,Hurricane (Typhoon),0,0,41000,0,XX,AST,1102750,Z,11,SJU,0,0,EMERGENCY MANAGER,8/23/2000,200,"Debby formed on the 18th of  August as a tropical depression about 1100 miles east of the Windward Islands.  The storm moved west  northwest and strengthened to a hurricane on the morning of August 22 just northeast of the Leeward Islands. Debby passed about  30 miles north of St.Thomas late that morning and about  30 to 40 miles off the northeast coast of Puerto Rico during the afternoon.  The storm continued to move west northwest  and weakened during most of the day and night and by the 23rd it was located about 100 miles northwest of Puerto Rico as a tropical storm.   

Its major impact over Puerto Rico was flooding. Some sectors in the interior received more than 12 inches of rain in a 48-hour period.  This caused widespread flooding and many rivers to overflow  their banks forcing communities to be evacuated.  Also this rainfall caused landslides and mudslides and induced various bridges to collapse. Many homes were affected by flood waters island wide.   Maximum sustained wind speed at the San Juan Airport was 24 mph with gusts to 35 mph. In Ceiba, maximum sustained winds were 28 mph with gust to 35 mph.  Damages were estimated around .5 M due to flooding affecting about 406 homes.  Caguas municipality was the most affected with 237 families reporting some degree of  flood damage."
5157372,CENTRAL INTERIOR (ZONE),8/22/2000,1500,Hurricane (Typhoon),0,0,41000,0,XX,AST,1102750,Z,6,SJU,0,0,EMERGENCY MANAGER,8/23/2000,200,"Debby formed on the 18th of  August as a tropical depression about 1100 miles east of the Windward Islands.  The storm moved west  northwest and strengthened to a hurricane on the morning of August 22 just northeast of the Leeward Islands. Debby passed about  30 miles north of St.Thomas late that morning and about  30 to 40 miles off the northeast coast of Puerto Rico during the afternoon.  The storm continued to move west northwest  and weakened during most of the day and night and by the 23rd it was located about 100 miles northwest of Puerto Rico as a tropical storm.   

Its major impact over Puerto Rico was flooding. Some sectors in the interior received more than 12 inches of rain in a 48-hour period.  This caused widespread flooding and many rivers to overflow  their banks forcing communities to be evacuated.  Also this rainfall caused landslides and mudslides and induced various bridges to collapse. Many homes were affected by flood waters island wide.   Maximum sustained wind speed at the San Juan Airport was 24 mph with gusts to 35 mph. In Ceiba, maximum sustained winds were 28 mph with gust to 35 mph.  Damages were estimated around .5 M due to flooding affecting about 406 homes.  Caguas municipality was the most affected with 237 families reporting some degree of  flood damage."
5157371,SAN JUAN AND VICINITY (ZONE),8/22/2000,1500,Hurricane (Typhoon),0,0,41000,0,XX,AST,1102750,Z,1,SJU,0,0,EMERGENCY MANAGER,8/23/2000,200,"Debby formed on the 18th of  August as a tropical depression about 1100 miles east of the Windward Islands.  The storm moved west  northwest and strengthened to a hurricane on the morning of August 22 just northeast of the Leeward Islands. Debby passed about  30 miles north of St.Thomas late that morning and about  30 to 40 miles off the northeast coast of Puerto Rico during the afternoon.  The storm continued to move west northwest  and weakened during most of the day and night and by the 23rd it was located about 100 miles northwest of Puerto Rico as a tropical storm.   

Its major impact over Puerto Rico was flooding. Some sectors in the interior received more than 12 inches of rain in a 48-hour period.  This caused widespread flooding and many rivers to overflow  their banks forcing communities to be evacuated.  Also this rainfall caused landslides and mudslides and induced various bridges to collapse. Many homes were affected by flood waters island wide.   Maximum sustained wind speed at the San Juan Airport was 24 mph with gusts to 35 mph. In Ceiba, maximum sustained winds were 28 mph with gust to 35 mph.  Damages were estimated around .5 M due to flooding affecting about 406 homes.  Caguas municipality was the most affected with 237 families reporting some degree of  flood damage."
5156114,SOUTHEAST (ZONE),8/22/2000,1500,Hurricane (Typhoon),0,0,41000,0,XX,AST,1102750,Z,3,SJU,0,0,EMERGENCY MANAGER,8/23/2000,200,"Debby formed on the 18th of  August as a tropical depression about 1100 miles east of the Windward Islands.  The storm moved west  northwest and strengthened to a hurricane on the morning of August 22 just northeast of the Leeward Islands. Debby passed about  30 miles north of St.Thomas late that morning and about  30 to 40 miles off the northeast coast of Puerto Rico during the afternoon.  The storm continued to move west northwest  and weakened during most of the day and night and by the 23rd it was located about 100 miles northwest of Puerto Rico as a tropical storm.   

Its major impact over Puerto Rico was flooding. Some sectors in the interior received more than 12 inches of rain in a 48-hour period.  This caused widespread flooding and many rivers to overflow  their banks forcing communities to be evacuated.  Also this rainfall caused landslides and mudslides and induced various bridges to collapse. Many homes were affected by flood waters island wide.   Maximum sustained wind speed at the San Juan Airport was 24 mph with gusts to 35 mph. In Ceiba, maximum sustained winds were 28 mph with gust to 35 mph.  Damages were estimated around .5 M due to flooding affecting about 406 homes.  Caguas municipality was the most affected with 237 families reporting some degree of  flood damage."
