"Search Parameters"	"Year"	"Mo"	"Dy"	"Tsu"	"Eq"	"Name"	"Location"	"Country"	"Latitude"	"Longitude"	"Elevation (m)"	"Type"	"VEI"	"Agent"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"
"[""Year >= 2000"",""Country = United States""]"																																		
	2000	11	3			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"		"G"	2	1									2	1								
	2008	8	8	3587		"Kasatochi"	"Aleutian Is"	"United States"	52.177	-175.508	314	"Stratovolcano"	3																					
	2009	3	23			"Redoubt"	"Alaska-SW"	"United States"	60.485	-152.742	3108	"Stratovolcano"										1										1		
	2009	11	30			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"										2										2		
	2010	5	29	4822	9172	"Zealandia Bank"	"Mariana Is-C Pacific"	"United States"	16.88	145.85	0	"Stratovolcano"																						
	2012	2	10			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"										2										2		
	2012	3	2			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"		"L"								1	1	1										
	2014	11	10			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"									14.5	3	1	1							14.5	3	1	1
	2016	6	9			"Yellowstone"	"US-Wyoming"	"United States"	44.43	-110.67	2805	"Caldera"			1	1									1	1								
	2018	2	1			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"	1	"G"	1	1			3	1					1	1			3	1				
	2018	4	28	5678	10332	"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"	1	"L"					1	1	370	4	716	3					1	1	370	4	716	3
	2018	7	16			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"		"T"					23	1	1	1							23	1	1	1		
